alto_cm,categoria_Escultura,categoria_Pintura,categoria_Ilustración,categoria_Fotografía,peso_kg,material_Tabla de madera,ancho_cm,tecnica_Técnica mixta,es_original,con_certificado,material_Lienzo,precio_base
28.0,0,0,0,0,1.4,0,18.0,0,0,0,0,2400.0
35.0,1,0,0,0,3.2,0,22.0,0,1,1,0,5100.0
30.0,0,0,0,0,0.6,0,35.0,0,1,0,0,4100.0
50.0,0,0,0,0,0.0,0,38.0,0,0,0,0,2650.0
40.0,0,0,0,1,0.0,0,30.0,0,1,1,0,4300.0
25.0,0,0,0,0,1.8,0,22.0,0,1,0,0,3900.0
20.0,0,0,0,1,0.0,0,40.0,0,1,0,0,3100.0
50.0,0,0,0,1,0.0,0,50.0,0,1,0,0,2600.0
50.0,0,0,0,0,0.0,0,50.0,0,1,0,0,4100.0
30.0,0,0,0,0,0.0,0,50.0,0,1,0,0,3500.0
45.0,0,0,0,0,0.3,0,38.0,0,1,1,0,5400.0
30.0,0,0,0,0,1.1,0,22.0,0,1,1,0,3300.0
12.0,0,0,0,0,0.8,0,18.0,0,1,0,0,3450.0
40.0,0,0,0,1,0.0,0,60.0,0,1,0,0,1950.0
60.0,0,0,0,1,0.0,0,90.0,0,1,1,0,3950.0
35.0,0,0,0,0,2.4,0,28.0,0,1,1,0,3700.0
120.0,0,0,0,1,0.0,0,80.0,0,1,1,0,5750.0
120.0,0,0,0,1,0.0,0,80.0,0,0,1,0,2400.0
120.0,0,0,0,1,0.0,0,80.0,0,0,1,0,2100.0
50.0,1,0,0,0,5.2,0,18.0,0,0,1,0,5400.0
120.0,0,0,0,1,0.0,0,80.0,0,0,1,0,2350.0
120.0,0,0,0,1,0.0,0,80.0,0,0,1,0,3400.0
120.0,0,0,0,1,0.0,0,80.0,0,1,1,0,4400.0
120.0,0,0,0,1,0.0,0,80.0,0,0,1,0,2000.0
58.05,0,0,0,1,0.0,0,36.72,0,0,1,0,2150.0
180.0,0,0,0,1,0.0,0,100.0,0,0,1,0,3950.0
90.0,0,0,0,1,0.0,0,60.0,0,1,1,0,4500.0
120.0,0,0,0,1,0.0,0,80.0,0,1,1,0,4650.0
80.3,0,0,0,1,0.0,0,61.07,0,0,1,0,2700.0
57.83,0,0,0,1,0.0,0,33.91,0,0,1,0,2150.0
47.44,0,0,0,1,0.0,0,35.97,0,1,0,0,2000.0
55.49,0,0,0,1,0.0,0,49.21,0,0,0,0,2050.0
79.41,0,0,0,1,0.0,0,50.13,0,0,1,0,1800.0
56.75,0,0,0,1,0.0,0,47.14,0,0,0,0,2050.0
80.0,1,0,0,0,0.0,0,60.0,0,1,1,0,5650.0
27.67,0,0,0,1,0.0,0,17.53,0,0,0,0,1950.0
28.85,0,0,0,0,0.68,0,27.33,0,1,0,0,4200.0
24.67,0,0,0,1,0.0,0,16.86,0,1,0,0,2950.0
26.58,0,0,0,1,0.0,0,18.96,0,1,1,0,3100.0
120.0,0,1,0,0,0.0,1,100.0,0,1,0,0,7200.0
41.56,0,0,0,0,1.93,0,32.05,0,1,1,0,3200.0
40.0,0,1,0,0,0.0,1,30.0,0,1,0,0,5300.0
80.0,0,1,0,0,0.0,1,60.0,0,1,0,0,9850.0
40.0,0,1,0,0,0.0,0,30.0,0,1,0,0,3150.0
80.0,0,1,0,0,0.0,1,60.0,0,1,1,0,5350.0
120.0,0,1,0,0,0.0,0,100.0,0,1,0,0,9350.0
31.3,0,0,0,0,0.0,0,29.86,0,1,0,0,3200.0
40.0,1,0,0,0,0.0,0,30.0,0,1,0,0,5050.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,5300.0
120.0,1,0,0,0,0.0,0,100.0,0,1,1,0,6050.0
200.0,1,0,0,0,0.0,0,150.0,0,1,0,0,8950.0
40.0,1,0,0,0,0.0,0,30.0,0,1,0,0,4300.0
44.59,0,0,0,0,0.0,0,42.72,0,0,1,0,1900.0
80.0,1,0,0,0,0.0,0,60.0,0,1,0,0,4350.0
120.0,1,0,0,0,0.0,0,100.0,0,1,0,0,5500.0
61.05,0,0,1,0,0.0,0,53.0,0,0,1,0,1950.0
